com;typecom;reg;dep;arr;tncc;ncc;nccenr;libelle;can;comparent;nom_commune;latitude;longitude
21076;COM;27;21;212;0;BINGES;Binges;Binges;2102;;Binges;47.333333;5.266667
21077;COM;27;21;213;0;BISSEY LA COTE;Bissey-la-Côte;Bissey-la-Côte;2105;;Bissey-la-CÃ´te;47.916667;4.716667
21078;COM;27;21;213;0;BISSEY LA PIERRE;Bissey-la-Pierre;Bissey-la-Pierre;2105;;Bissey-la-Pierre;47.85;4.433333
21079;COM;27;21;212;0;BLAGNY SUR VINGEANNE;Blagny-sur-Vingeanne;Blagny-sur-Vingeanne;2121;;Blagny-sur-Vingeanne;47.433333;5.366667
21080;COM;27;21;212;0;BLAISY BAS;Blaisy-Bas;Blaisy-Bas;2123;;Blaisy-Bas;47.366667;4.733333
21081;COM;27;21;212;0;BLAISY HAUT;Blaisy-Haut;Blaisy-Haut;2123;;Blaisy-Haut;47.35;4.75
21082;COM;27;21;211;0;BLANCEY;Blancey;Blancey;2101;;Blancey;47.3;4.466667
21083;COM;27;21;211;0;BLANOT;Blanot;Blanot;2101;;Blanot;;
21084;COM;27;21;213;0;SOURCE SEINE;Source-Seine;Source-Seine;2119;;Blessey;47.483333;4.683333
21085;COM;27;21;212;0;BLIGNY LE SEC;Bligny-le-Sec;Bligny-le-Sec;2114;;Bligny-le-Sec;47.433333;4.733333
21086;COM;27;21;211;0;BLIGNY LES BEAUNE;Bligny-lès-Beaune;Bligny-lès-Beaune;2117;;Bligny-lÃ¨s-Beaune;46.983333;4.833333
21087;COM;27;21;211;0;BLIGNY SUR OUCHE;Bligny-sur-Ouche;Bligny-sur-Ouche;2101;;Bligny-sur-Ouche;47.1;4.666667
21088;COM;27;21;211;0;BONCOURT LE BOIS;Boncourt-le-Bois;Boncourt-le-Bois;2120;;Boncourt-le-Bois;47.133333;5
21089;COM;27;21;211;0;BONNENCONTRE;Bonnencontre;Bonnencontre;2104;;Bonnencontre;47.083333;5.15
21090;COM;27;21;213;0;BOUDREVILLE;Boudreville;Boudreville;2105;;Boudreville;47.933333;4.816667
21091;COM;27;21;211;0;BOUHEY;Bouhey;Bouhey;2101;;Bouhey;47.2;4.666667
21092;COM;27;21;211;0;BOUILLAND;Bouilland;Bouilland;2117;;Bouilland;47.133333;4.783333
21093;COM;27;21;213;0;BOUIX;Bouix;Bouix;2105;;Bouix;47.883333;4.483333
